TIMESTAMP,TIFI_OPEN_PRICE_USD,TIFI_HIGH_PRICE_USD,TIFI_LOW_PRICE_USD,TIFI_CLOSE_PRICE_USD,TIFI_VOLUME_USD,TIFI_DIVIDENDS_USD,TIFI_STOCK_SPLITS_USD
2024-02-16 00:00:00+00:00,,,,0.0,33305,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,81015,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,111271,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,139273,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,35409,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,111026,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,25096,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,40591,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,116908,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,34944,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,90985,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,130869,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,116934,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,140011,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,127093,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,172447,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,180021,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,161963,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,351713,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,127299,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,119000,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,124176,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,123391,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,437515,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,579028,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,330501,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,267369,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,207996,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,163129,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,266943,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,171642,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,175524,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,122555,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,146787,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,125798,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,152849,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,175438,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,130752,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,134650,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,127054,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,141337,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,102900,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,151249,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,71885,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,59898,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,108553,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,119754,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,131546,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,100124,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,94807,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,82508,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,104180,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,161985,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,141591,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,194958,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,171337,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,171565,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,167780,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,154920,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,89005,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,103986,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,128862,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,108869,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,80134,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,64507,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,110540,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,147910,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,242823,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,242411,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,149495,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,159203,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,151500,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,172417,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,170597,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,143049,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,76084,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,128224,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,100694,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,165577,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,158332,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,157553,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,176284,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,156467,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,196459,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,195370,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,140143,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,73897,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,62923,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,78140,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,66843,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,71002,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,155636,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,200608,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,87951,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,132667,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,188338,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,155373,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,274738,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,349101,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,325969,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,249470,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,280608,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,307547,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,235797,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,257011,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,265346,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,277670,0.0,0.0
