TIMESTAMP,SAFEMOONCASH_OPEN_PRICE_USD,SAFEMOONCASH_HIGH_PRICE_USD,SAFEMOONCASH_LOW_PRICE_USD,SAFEMOONCASH_CLOSE_PRICE_USD,SAFEMOONCASH_VOLUME_USD,SAFEMOONCASH_DIVIDENDS_USD,SAFEMOONCASH_STOCK_SPLITS_USD
2022-09-09 00:00:00+00:00,,,,0.0,91,0.0,0.0
2022-09-10 00:00:00+00:00,,,,0.0,1014,0.0,0.0
2022-09-11 00:00:00+00:00,,,,0.0,207,0.0,0.0
2022-09-12 00:00:00+00:00,,,,0.0,362,0.0,0.0
2022-09-13 00:00:00+00:00,,,,0.0,451,0.0,0.0
2022-09-14 00:00:00+00:00,,,,0.0,660,0.0,0.0
2022-09-15 00:00:00+00:00,,,,0.0,40,0.0,0.0
2022-09-16 00:00:00+00:00,,,,0.0,38,0.0,0.0
2022-09-17 00:00:00+00:00,,,,0.0,6,0.0,0.0
2022-09-18 00:00:00+00:00,,,,0.0,79,0.0,0.0
2022-09-19 00:00:00+00:00,,,,0.0,256,0.0,0.0
2022-09-20 00:00:00+00:00,,,,0.0,64,0.0,0.0
2022-09-21 00:00:00+00:00,,,,0.0,66,0.0,0.0
2022-09-22 00:00:00+00:00,,,,0.0,133,0.0,0.0
2022-09-23 00:00:00+00:00,,,,0.0,53,0.0,0.0
2022-09-24 00:00:00+00:00,,,,0.0,29,0.0,0.0
2022-09-25 00:00:00+00:00,,,,0.0,128,0.0,0.0
2022-09-26 00:00:00+00:00,,,,0.0,204,0.0,0.0
2022-09-27 00:00:00+00:00,,,,0.0,69,0.0,0.0
2022-09-28 00:00:00+00:00,,,,0.0,173,0.0,0.0
2022-09-29 00:00:00+00:00,,,,0.0,28,0.0,0.0
2022-09-30 00:00:00+00:00,,,,0.0,35,0.0,0.0
2022-10-01 00:00:00+00:00,,,,0.0,218,0.0,0.0
2022-10-02 00:00:00+00:00,,,,0.0,18,0.0,0.0
2022-10-03 00:00:00+00:00,,,,0.0,43,0.0,0.0
2022-10-04 00:00:00+00:00,,,,0.0,184,0.0,0.0
2022-10-05 00:00:00+00:00,,,,0.0,99,0.0,0.0
2022-10-06 00:00:00+00:00,,,,0.0,27,0.0,0.0
2022-10-07 00:00:00+00:00,,,,0.0,4,0.0,0.0
2022-10-08 00:00:00+00:00,,,,0.0,69,0.0,0.0
2022-10-09 00:00:00+00:00,,,,0.0,527,0.0,0.0
2022-10-10 00:00:00+00:00,,,,0.0,245,0.0,0.0
2022-10-11 00:00:00+00:00,,,,0.0,182,0.0,0.0
2022-10-12 00:00:00+00:00,,,,0.0,10,0.0,0.0
2022-10-13 00:00:00+00:00,,,,0.0,8,0.0,0.0
2022-10-14 00:00:00+00:00,,,,0.0,46,0.0,0.0
2022-10-15 00:00:00+00:00,,,,0.0,104,0.0,0.0
2022-10-16 00:00:00+00:00,,,,0.0,303,0.0,0.0
2022-10-17 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-10-18 00:00:00+00:00,,,,0.0,24,0.0,0.0
2022-10-19 00:00:00+00:00,,,,0.0,8,0.0,0.0
2022-10-21 00:00:00+00:00,,,,0.0,54,0.0,0.0
2022-10-22 00:00:00+00:00,,,,0.0,57,0.0,0.0
2022-10-23 00:00:00+00:00,,,,0.0,47,0.0,0.0
2022-10-24 00:00:00+00:00,,,,0.0,11,0.0,0.0
2022-10-25 00:00:00+00:00,,,,0.0,97,0.0,0.0
2022-10-26 00:00:00+00:00,,,,0.0,367,0.0,0.0
2022-10-27 00:00:00+00:00,,,,0.0,320,0.0,0.0
2022-10-28 00:00:00+00:00,,,,0.0,4,0.0,0.0
2022-10-29 00:00:00+00:00,,,,0.0,8,0.0,0.0
2022-10-30 00:00:00+00:00,,,,0.0,23,0.0,0.0
2022-10-31 00:00:00+00:00,,,,0.0,8,0.0,0.0
2022-11-01 00:00:00+00:00,,,,0.0,16,0.0,0.0
2022-11-02 00:00:00+00:00,,,,0.0,130,0.0,0.0
