TIMESTAMP,BABYPEPE_OPEN_PRICE_USD,BABYPEPE_HIGH_PRICE_USD,BABYPEPE_LOW_PRICE_USD,BABYPEPE_CLOSE_PRICE_USD,BABYPEPE_VOLUME_USD,BABYPEPE_DIVIDENDS_USD,BABYPEPE_STOCK_SPLITS_USD
2023-12-21 00:00:00+00:00,,,,0.0,38690,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,42006,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,37381,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,29397,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,20179,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,5295,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,13519,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,9562,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,8087,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,5288,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,9998,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,8380,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,11752,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,8169,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,7550,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,1904,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,2722,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,5259,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,8297,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,5884,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,8151,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,5204,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,1207,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,2182,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,2046,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,5748,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,2391,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,25072,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,7304,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,2336,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,935,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,4544,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,4879,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,4370,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,19385,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,5297,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,7553,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,6790,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,6911,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,8285,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,9990,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,3678,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,25540,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,9932,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,980,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,15148,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,2839,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,318,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,5768,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,1676,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,1030,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,979,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,4782,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,4656,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,6539,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,2526,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,4080,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,5435,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,474,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,455,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,914,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,9,0.0,0.0
