TIMESTAMP,ETH_MARKET_CAP_USD,ETH_PRICE_USD,ETH_SUPPLY
2016-11-15,878869341.056875,10.22,85995043.15625
2016-11-16,861126511.870625,10.01,86026624.5625
2016-11-17,856271459.9046875,9.95,86057433.15625
2016-11-18,820442788.4243749,9.53,86090533.9375
2016-11-19,835391790.803125,9.7,86122865.03125
2016-11-20,824506462.044375,9.57,86155325.1875
2016-11-21,823949027.33,9.56,86187136.75
2016-11-22,848388212.22,9.84,86218314.25
2016-11-23,843534191.9775,9.78,86250939.875
2016-11-24,795532372.038125,9.22,86283337.53125
2016-11-25,810514492.60125,9.39,86316772.375
2016-11-26,806502166.03875,9.34,86349268.3125
2016-11-27,769672346.5096875,8.91,86382979.40625
2016-11-28,749234689.8974999,8.67,86416919.25
2016-11-29,707160103.011875,8.18,86449890.34375
2016-11-30,742878063.6528125,8.59,86481730.34375
2016-12-01,730173759.595,8.44,86513478.625
2016-12-02,662071353.9890624,7.65,86545275.03125
2016-12-03,683961392.35625,7.9,86577391.4375
2016-12-04,653028572.08875,7.54,86608563.9375
2016-12-05,579620252.80125,6.69,86639798.625
2016-12-06,659572202.0424999,7.61,86671774.25
2016-12-07,723974098.70625,8.35,86703484.875
2016-12-08,719905305.18125,8.3,86735578.9375
2016-12-09,739256881.0725001,8.52,86767239.5625
2016-12-10,702203230.1871876,8.09,86798915.96875
2016-12-11,712011723.6,8.2,86830698.0
2016-12-12,733984215.81875,8.45,86862037.375
2016-12-13,729908317.9499999,8.4,86893847.375
2016-12-14,715398493.2540625,8.23,86925697.84375
2016-12-15,674786829.4925001,7.76,86957065.65625
2016-12-16,682862253.190625,7.85,86988822.0625
2016-12-17,666579208.551875,7.66,87020784.40625
2016-12-18,686845620.7903125,7.89,87052676.90625
2016-12-19,662710361.52375,7.61,87084147.375
2016-12-20,661209045.5746875,7.59,87115816.28125
2016-12-21,685850110.7974999,7.87,87147409.25
2016-12-22,666043612.5075,7.64,87178483.3125
2016-12-23,624420740.69875,7.16,87209600.65625
2016-12-24,630751906.0509374,7.23,87240927.53125
2016-12-25,627492409.6153125,7.19,87272935.96875
2016-12-26,629466026.5315626,7.21,87304580.65625
2016-12-27,624451021.6140624,7.15,87335807.21875
2016-12-28,661371056.19125,7.57,87367378.625
2016-12-29,717547410.44875,8.21,87399197.375
2016-12-30,713435972.13,8.16,87430878.9375
2016-12-31,704069961.8531251,8.05,87462107.0625
2017-01-01,712199982.498125,8.14,87493855.34375
2017-01-02,729961720.2825,8.34,87525386.125
2017-01-03,840546330.3000001,9.6,87556909.40625
2017-01-04,952968417.24,10.88,87589008.9375
2017-01-05,893732424.88125,10.2,87620825.96875
2017-01-06,882657507.985,10.07,87652185.5
2017-01-07,858427148.095,9.79,87684080.5
2017-01-08,900840905.26625,10.27,87715764.875
2017-01-09,895024654.9124999,10.2,87747515.1875
2017-01-10,926067021.134375,10.55,87778864.5625
2017-01-11,863176109.4321874,9.83,87810387.53125
2017-01-12,861729473.0925,9.81,87841944.25
2017-01-13,859404537.22125,9.78,87873674.5625
2017-01-14,859712393.2837499,9.78,87905152.6875
2017-01-15,868816124.6212499,9.88,87936854.71875
2017-01-16,843616908.3496875,9.59,87968395.03125
2017-01-17,892316868.0075,10.14,87999691.125
2017-01-18,897038937.7653126,10.19,88031299.09375
2017-01-19,918501472.555625,10.43,88063420.1875
2017-01-20,933802137.58125,10.6,88094541.28125
2017-01-21,961455369.4909376,10.91,88126065.03125
2017-01-22,944168354.8565624,10.71,88157642.84375
2017-01-23,950678943.011875,10.78,88189141.28125
2017-01-24,927198103.9925001,10.51,88220561.75
2017-01-25,927528365.9628123,10.51,88251985.34375
