,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
426,13,3500,0.3,1,1.3793496088094046e-05,0.01
427,12,2750,0.3,1,1.396198793647202e-05,0.01
428,13,2500,0.15,1,1.4130042437646091e-05,0.01
429,13,3750,0.25,1,1.4137783714816236e-05,0.01
430,13,3500,0.25,1,1.4260081211963602e-05,0.01
431,12,3250,0.25,1,1.4418317512469597e-05,0.01
432,6,250,0.05,1,1.4475731436270016e-05,0.01
433,13,2500,0.1,1,1.4783298715058486e-05,0.01
434,11,3250,0.3,1,1.4830270977354071e-05,0.01
435,11,2500,0.3,1,1.4871281473179632e-05,0.01
436,9,1250,0.3,1,1.4952985587719592e-05,0.01
437,4,250,0.3,1,1.500198211406792e-05,0.01
438,15,3500,0.2,1,1.528084120114235e-05,0.01
439,11,2750,0.15,1,1.5320847562724017e-05,0.01
440,8,250,0.0,1,1.5491202954014778e-05,0.01
441,8,1000,0.25,1,1.5781846439351973e-05,0.01
442,5,250,0.2,1,1.578621868528128e-05,0.01
443,14,2750,0.1,1,1.582498701879894e-05,0.01
444,10,1250,0.05,1,1.584900780945143e-05,0.01
445,7,1000,0.15,1,1.600144196593878e-05,0.01
446,9,1500,0.3,1,1.6124924722083246e-05,0.01
447,11,3000,0.15,1,1.6202193103157947e-05,0.01
448,11,2500,0.15,1,1.627623965578519e-05,0.01
449,10,2000,0.15,1,1.640278578134889e-05,0.01
450,7,500,0.3,1,1.64351895271027e-05,0.01
451,14,3000,0.05,1,1.6514461628556742e-05,0.01
452,15,500,0.0,1,1.6893561254140852e-05,0.01
453,10,1500,0.05,1,1.6967020301419473e-05,0.01
454,14,500,0.0,1,1.7007081001796523e-05,0.01
455,14,3250,0.15,1,1.7064074629341824e-05,0.01
456,12,2500,0.15,1,1.7228879316659523e-05,0.01
457,13,500,0.0,1,1.7339532163856182e-05,0.01
458,13,2250,0.05,1,1.7506706803682173e-05,0.01
459,15,3000,0.05,1,1.752302519481113e-05,0.01
460,15,3250,0.05,1,1.7728895894112196e-05,0.01
461,15,3750,0.25,1,1.7882259057398948e-05,0.01
462,13,2750,0.2,1,1.795219473713595e-05,0.01
